,Date,Week Number ,Influenza[it],Febbre[it],Cefalea[it],Paracetamolo[it],Rinorrea[it],Mialgia[it],Vomito[it],Vaccino antinfluenzale[it],Antibiotico[it],Tosse[it],Artralgia[it],Antipiretico[it],Polmonite[it],Brivido[it],Raffreddore comune[it],Ketoprofene[it],Acido ascorbico[it],Unnamed: 6
386,2015-05-26,387,507,1020,1000,6497,199,456,668,82,1031,387,327,181,1342,92,461,830,2141,
387,2015-06-02,388,512,1060,861,1760,176,523,630,93,1004,348,315,200,1286,79,407,632,1465,
388,2015-06-09,389,471,1026,849,1653,160,539,567,105,1092,335,338,219,1410,86,291,686,1407,
389,2015-06-16,390,373,825,791,1437,149,522,506,62,806,253,282,158,1195,70,276,647,1275,
390,2015-06-23,391,349,824,838,1243,173,455,511,100,779,274,263,186,1064,80,271,635,1152,
391,2015-06-30,392,405,752,645,1228,133,392,518,62,722,248,229,163,981,66,232,606,1201,
392,2015-07-07,393,365,846,612,1264,138,386,565,77,699,224,231,192,993,69,190,620,1183,
393,2015-07-14,394,294,883,609,1169,150,333,506,91,731,271,245,170,1016,70,230,575,1075,
394,2015-07-21,395,338,806,576,3299,134,358,476,64,583,196,251,241,1023,66,189,619,986,
395,2015-07-28,396,300,607,484,1119,99,337,392,55,536,194,210,168,829,50,215,492,782,
396,2015-08-04,397,387,515,528,1031,92,287,368,48,567,176,198,140,763,52,191,582,716,
397,2015-08-11,398,627,570,478,1040,105,299,377,36,554,190,175,175,727,63,257,531,638,
398,2015-08-18,399,923,699,556,1172,108,333,409,56,638,205,191,177,796,75,270,577,853,
399,2015-08-25,400,723,667,661,1329,186,445,448,81,735,250,247,213,960,68,357,584,1659,
400,2015-09-01,401,1041,840,690,1438,161,399,509,106,803,217,290,233,1023,67,413,620,1319,
401,2015-09-08,402,455,825,794,1523,169,376,460,90,788,242,252,196,1010,79,474,634,1333,
402,2015-09-15,403,455,881,699,1537,183,351,525,112,765,270,278,207,1027,84,557,660,1430,
403,2015-09-22,404,526,937,654,1797,161,320,518,124,863,357,241,227,963,77,859,669,1292,
404,2015-09-29,405,649,960,654,1945,171,330,461,149,857,307,282,244,1033,99,1081,655,1350,
405,2015-10-06,406,695,884,758,2034,186,472,477,226,973,398,511,279,1217,107,1082,733,1276,
406,2015-10-13,407,594,934,742,2047,210,378,519,326,912,378,269,259,1129,82,1007,741,1286,
407,2015-10-20,408,534,914,712,1860,163,398,477,322,880,382,229,233,1176,72,825,699,1253,
408,2015-10-27,409,531,833,692,1836,169,366,478,289,786,430,269,248,1258,92,645,685,1354,
409,2015-11-03,410,659,891,803,1900,165,410,532,395,870,405,255,262,1241,65,668,751,1340,
410,2015-11-10,411,577,835,714,1789,172,368,498,385,850,423,243,245,1168,81,576,714,1380,
411,2015-11-17,412,587,958,693,1893,189,383,518,418,1032,373,215,267,1191,84,556,693,1405,
412,2015-11-24,413,601,1003,755,1805,164,344,524,349,938,369,239,245,1267,101,687,697,1360,
413,2015-12-01,414,601,935,597,2448,158,356,452,230,831,336,225,251,1270,92,633,620,1264,
414,2015-12-08,415,577,1051,743,2048,199,372,538,170,893,388,234,236,1338,91,696,666,1350,
415,2015-12-15,416,649,877,609,1982,193,331,483,115,790,384,209,264,1288,85,789,648,1233,
416,2015-12-22,417,445,685,480,1733,161,255,474,118,590,330,145,184,965,58,756,507,849,
417,2015-12-29,418,584,996,584,1969,184,294,567,64,829,363,189,230,1220,69,933,633,1016,
418,2016-01-05,419,737,1207,625,2245,237,371,547,121,975,448,253,283,1632,79,983,722,1462,
419,2016-01-12,420,810,1131,709,2152,239,422,599,96,1036,483,278,255,1700,74,882,777,1564,
420,2016-01-19,421,753,1171,818,2212,215,407,563,117,1055,450,308,290,1642,97,875,758,1693,
421,2016-01-26,422,771,1348,877,2281,246,419,617,104,1091,433,327,292,1761,116,924,733,1543,
422,2016-02-02,423,826,1522,914,2454,246,444,578,108,1082,436,321,269,1610,85,890,741,1582,
423,2016-02-09,424,856,1415,868,2375,229,453,544,78,1173,449,300,321,1844,112,811,767,1478,
424,2016-02-16,425,803,1448,817,2231,227,509,598,100,1107,476,304,290,1751,96,737,723,1578,
425,2016-02-23,426,792,1445,791,2260,215,445,550,67,1128,435,323,294,1742,78,735,774,1395,
426,2016-03-01,427,754,1369,840,2170,195,458,525,55,1127,413,299,258,1619,82,630,693,1420,
427,2016-03-08,428,730,1312,790,2089,216,431,572,67,1070,406,290,249,1629,85,586,761,1569,
428,2016-03-15,429,844,1281,772,2029,200,399,490,57,1045,359,253,235,1528,88,593,703,1329,
429,2016-03-22,430,674,1065,614,1641,194,371,422,55,863,302,205,182,1338,72,465,567,1075,
430,2016-03-29,431,677,1095,741,1763,212,438,477,95,1092,322,294,227,1471,64,545,754,1298,
431,2016-04-05,432,571,1013,775,1950,193,412,461,62,936,319,256,221,1522,88,477,669,1361,
432,2016-04-12,433,519,975,739,1512,171,389,432,46,876,319,285,176,1372,72,455,641,1214,
433,2016-04-19,434,509,842,656,1530,188,392,497,60,795,292,277,176,1251,57,507,605,1305,
434,2016-04-26,435,507,955,730,1733,164,372,482,68,868,263,297,206,1397,67,512,603,1379,
435,2016-05-03,436,502,841,691,1524,176,381,440,60,870,343,239,206,1304,74,496,643,1285,
436,2016-05-10,437,552,843,781,1810,184,375,413,64,950,298,250,219,1237,63,482,639,1275,
437,2016-05-17,438,581,804,706,1585,168,379,372,71,1037,275,256,186,1343,75,421,626,1366,
438,2016-05-24,439,439,861,665,1575,165,413,352,60,1706,305,271,183,1643,64,389,623,1433,
439,2016-05-31,440,454,796,666,1516,143,407,394,82,1453,252,217,169,1185,58,323,555,1248,
440,2016-06-07,441,388,779,760,1457,166,363,376,76,1113,265,265,214,1193,64,310,568,1267,
441,2016-06-14,442,534,880,713,1437,164,376,428,100,1008,249,251,166,1620,60,363,583,1398,
442,2016-06-21,443,515,827,682,1330,135,317,382,110,841,226,247,167,1182,54,338,507,1132,
443,2016-06-28,444,427,758,580,1217,109,336,330,76,798,201,224,157,1029,77,239,548,1130,
444,2016-07-05,445,434,731,492,1276,96,253,223,68,524,223,154,100,970,81,184,347,1051,
445,2016-07-12,446,414,769,518,1110,33,133,74,17,0,162,0,0,925,38,161,322,965,
446,2016-07-19,447,295,587,465,1053,60,157,97,28,0,156,0,0,814,44,173,303,810,
447,2016-07-26,448,259,472,434,955,4,45,0,0,0,115,0,0,714,44,134,179,765,
448,2016-08-02,449,230,460,505,911,6,79,0,0,0,123,0,0,670,31,162,169,731,
449,2016-08-09,450,302,454,337,917,10,62,0,0,0,106,0,0,566,47,174,197,592,
450,2016-08-16,451,229,498,384,980,1,54,0,0,0,160,0,0,694,35,177,183,736,
451,2016-08-23,452,305,600,452,1083,17,79,0,0,0,157,0,0,757,35,262,226,866,
452,2016-08-30,453,422,623,527,1173,84,281,181,32,419,190,202,97,958,48,267,575,1043,
453,2016-09-06,454,473,737,562,1311,104,312,235,94,0,209,0,0,2923,37,341,585,1002,
454,2016-09-13,455,388,704,547,1291,91,301,222,56,0,172,0,0,2082,49,331,520,1092,
455,2016-09-20,456,412,695,563,1659,92,246,214,68,0,169,0,0,1061,43,580,561,1105,
456,2016-09-27,457,760,892,494,1734,126,279,263,124,0,205,0,0,1089,40,937,618,1123,
457,2016-10-04,458,819,1011,535,1934,131,275,261,228,101,237,44,34,1132,54,1009,595,1066,
458,2016-10-11,459,854,836,432,1774,129,255,225,218,0,226,0,0,1085,66,916,597,1071,
459,2016-10-18,460,709,787,514,1835,138,250,303,329,734,246,200,216,1029,54,752,619,1103,
460,2016-10-25,461,588,721,454,1603,110,177,295,277,586,191,184,153,1004,55,682,569,1020,
461,2016-11-01,462,665,695,523,1697,125,230,318,352,629,209,164,170,1114,42,553,565,1093,
462,2016-11-08,463,696,685,558,1594,111,225,332,346,684,247,169,166,1190,53,553,525,1224,
463,2016-11-15,464,690,723,486,1718,124,226,386,335,898,253,205,167,1114,49,544,618,1261,
464,2016-11-22,465,359,358,280,793,61,153,159,128,402,106,100,115,613,24,268,296,558,
465,2016-11-29,466,7,10,6,22,3,5,5,4,19,0,3,1,22,1,11,5,20,
466,2016-12-06,467,899,787,464,1668,113,212,404,152,608,240,176,188,1150,55,552,476,1160,
467,2016-12-13,468,1021,1020,519,1869,115,223,321,135,712,293,197,180,1385,61,646,553,1190,
468,2016-12-20,469,122,142,66,254,19,35,38,9,99,41,27,27,172,11,100,63,140,
